Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Mbwana Samatta,-0.015,-0.01,-0.005,3.21,1992,26.0,"UCL, Belgian Pro League","Aston Villa, Genk",Tanzania,ST,AM,12.1,6.3,31.1,-6.8,0.4,0.6,0.4,37.7,14.5,0.0
Mehdi Abeid,-0.026,-0.023,-0.003,2.16,1992,26.0,Ligue 1,Nantes,Algeria,DM,"ST, CM",10.2,10.4,21.0,-7.8,1.2,1.4,3.4,47.1,13.6,0.0
Mehdi Bourabia,0.008,0.01,-0.002,1.34,1991,27.0,Serie A,Sassuolo,Morocco,DM,"RM, CM",10.1,10.4,19.0,-2.1,1.8,1.1,1.1,47.7,14.5,0.0
Mehdi Carcela,0.012,0.007,0.004,2.41,1989,30.0,"Belgian Pro League, UEL",Standard Liège,Morocco,RW,"AM, LW, RM",17.2,11.8,29.0,-9.6,1.1,1.5,0.8,40.4,18.5,0.0
Mehdi Léris,0.011,0.004,0.007,0.75,1998,21.0,Serie A,Sampdoria,Algeria,CM,"RW, LW, RM, LM",11.4,9.8,25.3,-3.1,1.2,1.4,1.7,50.0,15.6,0.0
Mehdi Taremi,0.074,0.073,0.002,4.57,1992,27.0,Primeira Liga,Rio Ave,Iran,ST,LW,15.5,7.5,29.8,-10.3,0.5,0.7,0.6,47.3,14.7,0.0
Mehmet Topal,-0.026,-0.0,-0.025,0.0,1986,33.0,UEL,Başakşehir,Turkey,DM,CB,9.4,9.1,21.5,-7.3,1.1,0.9,0.9,56.9,13.1,0.0
Mehrdad Mohammadi,-0.044,-0.042,-0.002,2.45,1993,25.0,Primeira Liga,Aves,Iran,ST,"RW, LW, LM",13.8,8.7,33.8,-5.4,0.6,0.7,1.8,31.9,14.1,0.0
Melle Meulensteen,-0.121,-0.026,-0.095,0.49,1999,20.0,Eredivisie,RKC Waalwijk,Netherlands,CB,,6.7,8.8,18.3,6.2,1.8,1.2,0.7,47.6,11.7,0.0
Memphis,0.017,0.016,0.001,1.54,1994,25.0,"UCL, Ligue 1",Lyon,Netherlands,ST,"AM, LW",15.4,10.8,29.7,15.6,0.6,0.6,6.0,40.1,19.3,0.0
