player,team,rating,season
Pablo Zabaleta,West Ham United,6.74,17-18
Charlie Taylor,Burnley,6.74,17-18
André Ayew,Swansea City,6.73,17-18
Andy King,Swansea City,6.73,17-18
Heurelho Gomes,Watford,6.73,17-18
Bakary Sako,Crystal Palace,6.73,17-18
Davide Zappacosta,Chelsea,6.73,17-18
Wes Morgan,Leicester City,6.73,17-18
Julián Speroni,Crystal Palace,6.73,17-18
Moussa Sissoko,Tottenham Hotspur,6.73,17-18
Roberto Pereyra,Watford,6.73,17-18
James Morrison,West Bromwich Albion,6.73,17-18
Danny Drinkwater,Chelsea,6.73,17-18
Phil Foden,Manchester City,6.73,17-18
Marvin Zeegelaar,Watford,6.73,17-18
Davy Pröpper,Brighton &amp; Hove Albion,6.72,17-18
Ashley Westwood,Burnley,6.72,17-18
Jay Rodriguez,West Bromwich Albion,6.72,17-18
Sebastian Prödl,Watford,6.72,17-18
Michy Batshuayi,Chelsea,6.72,17-18
Matteo Darmian,Manchester United,6.72,17-18
Declan Rice,West Ham United,6.72,17-18
Laurent Depoitre,Huddersfield Town,6.72,17-18
James McArthur,Crystal Palace,6.72,17-18
Danny Ings,Liverpool,6.71,17-18
Tammy Abraham,Swansea City,6.71,17-18
Claudio Yacob,West Bromwich Albion,6.71,17-18
Sofiane Boufal,Southampton,6.71,17-18
Manolo Gabbiadini,Southampton,6.71,17-18
Gaëtan Bong,Brighton &amp; Hove Albion,6.71,17-18
Jeffrey Schlupp,Crystal Palace,6.7,17-18
Demarai Gray,Leicester City,6.7,17-18
Shinji Okazaki,Leicester City,6.7,17-18
Jermain Defoe,Bournemouth,6.7,17-18
Tomer Hemed,Brighton &amp; Hove Albion,6.7,17-18
Darren Fletcher,Stoke City,6.7,17-18
Aleksandar Mitrović,Newcastle United,6.7,17-18
Florent Hadergjonaj,Huddersfield Town,6.7,17-18
Ethan Ampadu,Chelsea,6.7,17-18
Michel Vorm,Tottenham Hotspur,6.7,17-18
Rekeem Harper,West Bromwich Albion,6.7,17-18
Nordin Amrabat,Watford,6.7,17-18
Willy Caballero,Chelsea,6.7,17-18
Ainsley Maitland-Niles,Arsenal,6.7,17-18
Philip Billing,Huddersfield Town,6.7,17-18
Solly March,Brighton &amp; Hove Albion,6.7,17-18
Marcos Rojo,Manchester United,6.69,17-18
Thomas Ince,Huddersfield Town,6.69,17-18
Jürgen Locadia,Brighton &amp; Hove Albion,6.68,17-18
Adrian Mariappa,Watford,6.68,17-18
Jonas Lössl,Huddersfield Town,6.68,17-18
Moritz Bauer,Stoke City,6.68,17-18
Morgan Schneiderlin,Everton,6.68,17-18
Jeff Hendrick,Burnley,6.68,17-18
Simon Mignolet,Liverpool,6.68,17-18
Edimilson Fernandes,West Ham United,6.68,17-18
Chris Löwe,Huddersfield Town,6.68,17-18
Matty James,Leicester City,6.68,17-18
Matt Phillips,West Bromwich Albion,6.68,17-18
Ben Foster,West Bromwich Albion,6.68,17-18
Tyrese Campbell,Stoke City,6.68,17-18
James McCarthy,Everton,6.68,17-18
Zlatan Ibrahimović,Manchester United,6.68,17-18
Stefano Okaka,Watford,6.67,17-18
Jaïro Riedewald,Crystal Palace,6.67,17-18
Markus Suttner,Brighton &amp; Hove Albion,6.67,17-18
Jake Livermore,West Bromwich Albion,6.67,17-18
